Date,Type,Player/Pick,Source,Destination
2015-10-01,add,Thomas Rawls,freeagents,MP
2015-10-01,drop,James Starks,DB,waivers
2015-10-01,add,Chris Johnson,freeagents,DB
2015-10-01,drop,Brian Quick,JC,waivers
2015-10-01,add,Dan Carpenter,freeagents,JC
2015-10-02,drop,Greg Hardy,MP,waivers
2015-10-02,add,Drew Brees,freeagents,MP
2015-10-02,drop,Andre Johnson,CR,waivers
2015-10-02,add,Alex Smith,freeagents,CR
2015-10-03,drop,Landon Collins,MP,waivers
2015-10-03,add,Blake Bortles,freeagents,MP
2015-10-04,drop,Davante Adams,MP,waivers
2015-10-04,add,Jay Cutler,freeagents,MP
2015-10-07,drop,Mike Wallace,TJ,waivers
2015-10-07,add,Leonard Hankerson,waivers,TJ
2015-10-07,drop,David Harris,MW,waivers
2015-10-07,add,Malcolm Smith,waivers,MW
2015-10-07,drop,Charles Tillman,MM,waivers
2015-10-07,add,Greg Hardy,waivers,MM
2015-10-07,drop,Dan Carpenter,JC,waivers
2015-10-07,add,Gary Barnidge,waivers,JC
2015-10-07,drop,Morgan Burnett,BT,waivers
2015-10-07,add,Stephon Tuitt,waivers,BT
2015-10-07,drop,Michael Brockers,SC,waivers
2015-10-07,add,Rashad Jennings,waivers,SC
2015-10-07,drop,Anquan Boldin,DB,waivers
2015-10-07,add,Allen Hurns,waivers,DB
2015-10-07,drop,Jay Cutler,MP,waivers
2015-10-07,add,Janoris Jenkins,waivers,MP
2015-10-07,drop,Derek Carr,TP,waivers
2015-10-07,add,Richard Rodgers,waivers,TP
2015-10-07,drop,Jerrell Freeman,TJ,waivers
2015-10-07,add,Jordan Hicks,waivers,TJ
2015-10-07,drop,Lance Dunbar,MW,waivers
2015-10-07,add,Duke Johnson Jr.,waivers,MW
2015-10-07,add,Will Allen,waivers,MM
2015-10-07,drop,Tre Mason,JC,waivers
2015-10-07,add,Willie Snead,waivers,JC
2015-10-07,drop,Derrick Johnson,BT,waivers
2015-10-07,add,Pernell McPhee,waivers,BT
2015-10-07,drop,Curtis Lofton,DB,waivers
2015-10-07,add,Chris Conte,waivers,DB
2015-10-07,drop,Blake Bortles,MP,waivers
2015-10-07,add,Hau'oli Kikaha,waivers,MP
2015-10-07,drop,Sebastian Janikowski,MP,waivers
2015-10-07,add,Chandler Catanzaro,waivers,MP
2015-10-07,drop,Heath Miller,MP,waivers
2015-10-07,add,Cameron Heyward,freeagents,MP
2015-10-07,drop,Marvin Jones,BT,waivers
2015-10-07,add,Martavis Bryant,freeagents,BT
2015-10-07,drop,Matthew Stafford,CR,waivers
2015-10-07,add,Rueben Randle,freeagents,CR
2015-10-07,drop,Alex Smith,CR,waivers
2015-10-07,add,Tavon Austin,freeagents,CR
2015-10-07,drop,Ryan Mathews,MP,waivers
2015-10-07,add,Davante Adams,freeagents,MP
2015-10-08,trade,Aqib Talib,DB,BT
2015-10-08,trade,Robert Quinn,BT,DB
2015-10-08,drop,Kiko Alonso,TP,waivers
2015-10-08,add,K.J. Wright,freeagents,TP
2015-10-08,drop,Roddy White,JC,waivers
2015-10-08,add,William Gholston,freeagents,JC
2015-10-08,drop,Victor Cruz,JC,waivers
2015-10-08,add,Daryl Smith,freeagents,JC
2015-10-08,drop,Jordan Reed,JC,waivers
2015-10-08,add,Owen Daniels,freeagents,JC
2015-10-09,trade,Drew Brees,MP,CR
2015-10-09,trade,Antonio Gates,CR,MP
2015-10-09,drop,Rashad Johnson,MW,waivers
2015-10-09,add,Charles Woodson,freeagents,MW
2015-10-10,drop,Alec Ogletree,MP,waivers
2015-10-10,add,Derrick Morgan,freeagents,MP
2015-10-10,drop,Hau'oli Kikaha,MP,waivers
2015-10-10,add,Sheldon Richardson,freeagents,MP
2015-10-11,drop,Shane Vereen,TP,waivers
2015-10-11,add,Landon Collins,freeagents,TP
2015-10-11,drop,Antrel Rolle,SC,waivers
2015-10-11,add,Rashad Johnson,freeagents,SC
2015-10-11,drop,Ryan Tannehill,SC,waivers
2015-10-11,add,Boobie Dixon,freeagents,SC
2015-10-14,drop,Rishard Matthews,MW,waivers
2015-10-14,add,Andre Johnson,waivers,MW
2015-10-14,drop,Cameron Wake,CR,waivers
2015-10-14,add,Tyson Alualu,waivers,CR
2015-10-14,drop,C.J. Anderson,BT,waivers
2015-10-14,add,Charcandrick West,waivers,BT
2015-10-14,drop,Janoris Jenkins,MP,waivers
2015-10-14,add,Walter Thurmond,waivers,MP
2015-10-14,drop,Jamaal Charles,MP,waivers
2015-10-14,add,Theo Riddick,waivers,MP
2015-10-14,drop,Cameron Heyward,MP,waivers
2015-10-14,add,Stephone Anthony,waivers,MP
2015-10-14,drop,DeAndre Levy,MW,waivers
2015-10-14,add,Kevin Minter,freeagents,MW
2015-10-14,drop,Henry Anderson,MW,waivers
2015-10-14,add,Jimmy Smith,freeagents,MW
2015-10-14,drop,Alfred Morris,MW,waivers
2015-10-14,add,Hau'oli Kikaha,freeagents,MW
2015-10-14,drop,Thomas Rawls,MP,waivers
2015-10-14,add,Knile Davis,freeagents,MP
2015-10-14,drop,William Gholston,JC,waivers
2015-10-14,add,Antwon Blake,freeagents,JC
2015-10-14,drop,DeMarcus Ware,JC,waivers
2015-10-14,add,Cliff Avril,freeagents,JC
2015-10-14,drop,Justin Tuck,JC,waivers
2015-10-14,add,Josh McCown,freeagents,JC
2015-10-14,drop,Boobie Dixon,SC,waivers
2015-10-14,add,Delanie Walker,freeagents,SC
2015-10-15,drop,Marcell Dareus,MW,waivers
2015-10-15,add,Jabaal Sheard,freeagents,MW
2015-10-15,drop,Owen Daniels,JC,waivers
2015-10-15,add,Dwayne Harris,freeagents,JC
2015-10-16,drop,Jordan Cameron,TJ,waivers
2015-10-16,add,C.J. Anderson,waivers,TJ
2015-10-16,drop,Davante Adams,MP,waivers
2015-10-16,add,Christine Michael,freeagents,MP
2015-10-16,drop,Theo Riddick,MP,waivers
2015-10-16,add,Shane Vereen,freeagents,MP
2015-10-16,drop,Gerald Hodges Jr.,TP,waivers
2015-10-16,add,Devin McCourty,freeagents,TP
2015-10-17,drop,Dan Bailey,MM,waivers
2015-10-17,add,Phil Dawson,freeagents,MM
2015-10-17,drop,Tashaun Gipson,TJ,waivers
2015-10-17,add,Ron Parker,freeagents,TJ
2015-10-17,drop,Dont'a Hightower,BT,waivers
2015-10-17,add,David Harris,freeagents,BT
2015-10-18,drop,Marcus Mariota,MM,waivers
2015-10-18,add,Blake Bortles,freeagents,MM
2015-10-18,drop,Mychal Kendricks,JC,waivers
2015-10-18,add,Michael Wilhoite,freeagents,JC
2015-10-19,drop,Andre Johnson,MW,waivers
2015-10-19,add,Michael Crabtree,freeagents,MW
2015-10-21,drop,Isaiah Crowell,TJ,waivers
2015-10-21,add,Theo Riddick,waivers,TJ
2015-10-21,drop,Tyrod Taylor,MW,waivers
2015-10-21,add,Ryan Tannehill,waivers,MW
2015-10-21,drop,Mike Evans,BT,waivers
2015-10-21,add,Uani Unga,waivers,BT
2015-10-21,drop,Shane Vereen,MP,waivers
2015-10-21,add,Stefon Diggs,waivers,MP
2015-10-21,drop,Chris Conte,DB,waivers
2015-10-21,add,Rolando McClain,waivers,DB
2015-10-21,drop,David Johnson,TJ,waivers
2015-10-21,add,Charles Sims,waivers,TJ
2015-10-21,drop,Jabaal Sheard,MW,waivers
2015-10-21,add,Rishard Matthews,waivers,MW
2015-10-21,drop,Stephon Tuitt,BT,waivers
2015-10-21,add,Alex Smith,waivers,BT
2015-10-21,drop,Derrick Morgan,MP,waivers
